,source,target
1068159,CETN3,RPGR
1068160,RP1,RPGR
1068161,POLR2D,PCNA
1068162,PCNA,POLR2E
1068163,SEC61B,SEC62
1068164,SEC61G,SEC63
1068165,TPPP,EEF1A1
1068166,EPN2,KDR
1068167,CSNK2B,PPP1R8
1068168,SRC,CLIC5
1068169,SOX10,HERC1
1068170,SOD2,POLG
1068171,IDH1,S100A12
1068172,ALDOA,S100A12
1068173,GAPDH,S100A12
1068174,ANXA5,S100A12
1068175,RAB28,RAB28
1068176,KCNJ13,RAB28
1068177,RAB28,UCKL1
1068178,RAB28,PDZD8
1068179,RAB28,UCK1
1068180,DAPK3,RAB28
1068181,RAB28,UPRT
1068182,SLC2A1,RAB28
1068183,RAB28,LUZP1
1068184,RAB28,MEF2D
1068185,RAB28,SLC25A3
1068186,RAB28,NRBP1
1068187,RAB28,CAND1
1068188,TSC22D2,RAB28
1068189,RAB28,BEGAIN
1068190,RAB28,SEMA5A
1068191,RAB28,KCNAB1
1068192,C1QC,RAB28
1068193,MSI1,RAB28
1068194,C1S,RAB28
1068195,RAB28,LNPEP
1068196,CANX,RAB28
1068197,ATP2A2,RAB28
1068198,ERLIN2,RAB28
1068199,SLC3A2,RAB28
1068200,RAB28,VAC14
1068201,PCCB,RAB28
1068202,RAB28,PBXIP1
1068203,RAB28,CDR2L
1068204,C1QB,RAB28
1068205,CFP,RAB28
1068206,RAB28,TSC1
1068207,GPX4,RAB28
1068208,RAB28,GOLGA3
1068209,IDH3B,RAB28
1068210,RAB28,SNAP25
1068211,DDAH1,RAB28
1068212,RAB28,SCFD1
1068213,GPX1,RAB28
1068214,RAB28,TECR
1068215,RAB28,CCDC8
1068216,RAB28,PRDX4
1068217,RAB28,TRAP1
1068218,RAB28,SV2B
1068219,PCCA,RAB28
1068220,PGAM1,RAB28
1068221,PGK1,RAB28
1068222,RAB28,GNGT1
1068223,RAB28,CAPRIN1
1068224,RAB28,ARHGAP21
1068225,RAB28,CAMK2A
1068226,RAB28,RAP1GDS1
1068227,EPS15,RAB28
1068228,KPNA4,RAB28
1068229,ATP1B2,RAB28
1068230,RAB28,SFXN3
1068231,CUX1,RAB28
1068232,RAB28,CUX1
1068233,RAB28,PSMD2
1068234,BRCC3,RAB28
1068235,SLC6A11,RAB28
1068236,CPT1A,RAB28
1068237,RAB28,GID8
1068238,RAB28,GRK1
1068239,PSMD3,RAB28
1068240,RAB28,PFKP
1068241,RAB28,FARSA
1068242,PSMD4,RPL23
1068243,INPP5B,PSMD4
1068244,ETFB,PSMD4
1068245,MAP2K7,PSMD4
1068246,PSMD4,PRMT9
1068247,CNOT2,CNOT2
1068248,YKT6,PINX1
1068249,PHKA1,EEF1AKNMT
1068250,EEF1AKNMT,TOMM22
1068251,PSMB1,MTHFR
1068252,PSMB1,THUMPD1
1068253,PSMB1,EIF2B1
1068254,AHCY,ACTR6
1068255,TAT,CKS1B
1068256,CKS1B,GCDH
1068257,EED,RFC3
1068258,EED,NAF1
1068259,SREK1IP1,SREK1IP1
1068260,RPL21,RIC1
1068261,CCDC22,GRB2
1068262,UMPS,NDUFB9
1068263,UBC,THOC2
1068264,RFC5,THOC2
1068265,RPL12,THOC2
1068266,RACK1,THOC2
1068267,ATP5PD,RAPSN
