ACH-000096,ACH-000159,ACH-000189,ACH-000234,ACH-000246,ACH-000250,ACH-000262,ACH-000272,ACH-000313,ACH-000317,ACH-000375,ACH-000385,ACH-000411,ACH-000433,ACH-000459,ACH-000484,ACH-000495,ACH-000600,ACH-000649,ACH-000684,ACH-000709,ACH-000792,ACH-000907,ACH-001163,ACH-001194,ACH-001310,ACH-001398,ACH-001532,ACH-001687,ACH-001688,ACH-002150,ACH-002189
FNTA,-1.70419028135192,-1.39927926831519,-1.16761016127171,-1.62196019595037,-0.742589090849595,-0.784070250871008,-1.34433004300197,-0.620680860947045,-0.957708318814904,-1.21641949438267,-1.85953832964772,-1.83157457325015,-1.14795551779342,-1.33905820033797,-0.731395180780051,-0.657284346050403,-1.18337106272096,-0.735469772871349,-0.898551217572132,-1.34432665848721,-0.670453221391215,-1.24597817986474,-1.28853827078992,-0.836096967692164,-1.11616983164247,-1.1672420336464,-0.773089956521864,-1.65705740247203,-1.29170513177277,-1.3547852331862,-0.937334294654785,-0.850616992299723
ACVR1,-0.16275053609222,-0.0102261914505978,0.231563757861018,-0.133423835766381,0.0771860675745336,0.150374649786073,0.162098657505232,0.0795800080856892,0.0166894153040641,-0.046966650676556,0.10798802132319,0.0608472691871259,0.0865902551746502,-0.0714447912495344,0.208973818527714,0.0407524422491172,-0.0643044407392272,0.0138921499052187,-0.0190468272281221,0.157094789760073,0.0733622936761714,-0.0309439501749018,-0.145617362266924,-0.0057902287724477,0.0634245045202849,-0.0111951247092902,0.144476077153011,0.156111159870765,0.019546464671498,-0.214067936953497,-0.0134098081318483,0.0756540869951396
PML,0.292545662069935,0.124454642841748,0.302165958850197,-0.0125058407843727,0.182166193650094,0.11836387723709,0.0632279346004165,0.0385741248244845,-0.001349711372032,0.112859884633752,0.187688601725915,-0.110862190250348,0.110424502713844,0.141198130319137,0.230990373470511,0.292498887779902,-0.0008771995386903,0.034002401874501,0.116507898845028,0.335112328293054,0.0167102304427023,-0.0353547045976594,0.262731810381148,0.0862663225776554,0.0445739976693,0.0110368124095189,0.148393610839096,0.008770885615816,0.0080496403403318,-0.124567941694293,0.148349704081401,0.0636796598428049
RPA2,-1.84060511416938,-2.20278443002346,-2.19419991090732,-2.27935690693259,-1.99695014612401,-1.43236463370841,-1.8573317588658,-1.69369815856079,-1.56533491902395,-2.43154471570661,-2.21378068273505,-2.46970846793987,-2.02747374318726,-2.45098501844091,-1.80394735825076,-2.12560416057733,-1.95504816862146,-1.83102109155276,-1.69340204905554,-2.25054084958409,-1.7559773884115,-2.23726626547113,-1.92910680657705,-1.54157575254702,-1.86527024665851,-2.10235637406956,-2.11233942486791,-1.54649590146919,-1.39885478310069,-2.10698513131741,-1.96598105857786,-2.02702131955607
ARFIP2,0.361732951803872,0.0417418536914435,-0.351456842017838,0.0778567911879597,-0.0162866419728394,0.0364399215388698,0.0477892607889685,-0.0173872732206347,-0.0462976281045071,0.102826621440958,0.024232232489993,0.0690968017959214,0.0157846058339339,-0.211220884515061,-0.103087928401469,0.0899093390987238,-0.0546322429914938,0.131404925603367,0.0811997990057546,-0.060573157985417,0.126214354890165,-0.0762107706155587,-0.245067050629575,0.0074007063895374,0.108543419915966,0.0321936231859014,-0.105788234862743,-0.0843416063975767,-0.0819125013144004,-0.294046764948545,-0.0443905128552926,0.0153059294202298
ARFIP1,0.0862909696559594,0.0499142526625305,-0.0570157193714979,0.141636018162404,-0.0054561551906852,0.0137557725201279,0.0849250257974423,0.0252384506806748,0.0048936864218504,0.138459490673096,0.0075047226818914,-0.294082262450274,-0.122723845247206,0.121489341071134,-0.0371936694653688,-0.108996584480033,0.173262496610155,-0.0226268666679955,0.222537012006796,0.164145648359185,0.393855858357498,0.0294168393290042,0.267494536386776,0.114314676327178,0.0496289073425823,0.0715308612059179,-0.172912070429684,0.0407718365814616,0.200868866803723,-0.104147486190257,0.0144891361747454,0.0272664572643522
APP,0.351486961918559,-0.0064089317025435,0.0140734786731173,0.0688302205715155,0.123405087460774,0.0817125616676543,0.0168594937190062,0.0656510328342673,0.0796448783656989,0.0119254566950892,0.20006809951025,0.308684020300802,0.0553463431102984,0.307126071861683,0.18547370076097,0.132060750992879,0.0206624089396019,0.121064499974537,0.048899675910874,0.161561971852289,-0.14328852899313,-0.124793683726661,0.0786756054639372,0.0552029870811528,0.102820292218142,0.0708522356299316,0.0858657527935445,0.130737234787516,-0.0395732174013426,-0.0759250246830858,0.0415860984069058,0.034402692494209
TFAP2A,-0.0671600684664723,0.0641136412507526,0.173352327957892,0.153648158289703,0.0985464945226572,0.0998570953616297,0.224500861590938,-0.03672366919578,0.150062926538476,-0.0182952164532163,0.172125002197971,0.0903389415607199,0.0281110428282598,0.0759342014852636,0.287243646150555,0.188367196473424,0.162265436939197,0.185084833021198,0.0656727181654152,-0.172693604233933,0.0110266924230608,0.213034886109908,0.0047633077664195,0.120829367126148,0.234362691988634,0.0289212664727998,0.289953150254475,-0.0653763393126554,0.143491031436564,0.212658885445252,-0.221409698245609,0.142679142228571
GRB2,-0.737553138315643,-0.918381230000758,-1.35751537218105,-1.32351063709503,-1.21948965252956,-1.42525863669975,-1.14030154241215,-1.53826596485405,-1.35960139298938,-1.76582144387567,-0.83361743566405,-1.37259421039027,-1.13847263165996,-1.31713183738106,-1.43553220119316,-0.380756536038927,-0.996169680523728,-1.3130676560226,-0.9238321467047,-0.914872568101207,-0.995931648679449,-0.707837998389433,-1.30432945007956,-1.08446964501313,-1.04314083889803,-1.05186004463847,-0.92545774496467,-1.26825256510292,-1.10382425363287,-1.45436428817397,-0.63935320323965,-1.20621018683933
NARS1,-1.4957261893513,-2.096323480478,-1.41515772007211,-1.48571947538503,-1.564691468729,-1.80696147126593,-1.31907857454306,-1.65987192261542,-1.89192467791832,-0.955230435823085,-1.1411685726482,-1.28995009383932,-1.57159245465371,-1.59283170639889,-1.62988148161996,-1.86503369205036,-1.83785999858601,-1.99423508359757,-1.68678527832667,-1.42369242810965,-1.89266991615901,-1.70628631975355,-1.60445064587083,-1.52290727653547,-2.0411391939114,-1.4844608263624,-1.60507529906021,-1.43473611222809,-2.19788728934893,-2.12117943350218,-1.75361889823065,-1.76921305230115
BCL3,0.0448481034802231,0.0348126613626309,0.132391127714628,0.0882745328425142,0.163213781099421,0.103051935746994,0.0182198622370931,0.08661886340237,0.0445602772139526,0.207010451520504,0.0839761808690637,-0.0335041889347458,0.171391907257138,0.116497840890767,0.164368391409958,0.0191947978426164,0.162760220983273,-0.0383373084493611,0.002498080058201,0.132042509381371,-0.0630412253230333,0.0375104222285929,0.189215855609511,0.104617383554624,0.143005434356201,-0.0887231474595958,0.166239027560854,0.134292788450914,0.152511072077314,0.0757944911952091,0.0367992901085239,0.171554224794143
ADRB1,0.0859688517555265,0.122506958100316,-0.123438099288188,0.191991744409018,0.0840040684132392,0.0781621901373673,-0.156681066443213,0.147642777497993,0.119879567518258,0.0570779347901105,-0.061369001035773,0.121799983555858,0.0715263235997939,0.0111279510492225,0.140260541686745,-0.131271023841171,0.130006828133986,0.0614551593008523,0.0157222952275913,0.0188351508220127,0.0707422550129552,0.176742902352438,0.0175650164525032,-0.0013225421118815,0.129135057993711,0.0785046382910109,0.388698218813756,0.0426445818858822,0.121962404230317,0.13322190256439,0.0789609087396378,0.143470541687458
MSH6,0.078154870940582,0.0369009290040045,-0.043892176328049,-0.117765109682633,-0.0040538754731057,-0.0636422308744712,0.0528277258989358,0.0449608832113434,-0.0229036768886396,-0.102789807687541,0.141557990515101,-0.124934950521424,-0.0718617579906138,-0.176665086160956,0.271489386835531,0.0560963302354166,-0.190713349241213,0.0634717052167367,0.0718621754788512,0.0581004170386048,-0.19107978246319,-0.153104491112446,0.0078799085289844,0.0438965709302868,-0.0837696434531551,0.0111327308555249,0.0882227439642402,0.163067896959871,-0.10748327178695,-0.0012348700731584,0.0327149238040928,-0.125508665272246
ARVCF,0.299598069357064,0.0927739975058577,0.0003070670212087,0.0994437578513434,0.0063690205085961,0.0995823425455379,0.153741310312953,0.122020807154012,-0.0205962116198799,0.0857589267994171,0.403624930344973,0.0220364327182569,0.168173931771729,-0.150952590377236,0.0764867584184177,0.145991589049299,0.0009128987488571,0.204782164754066,-0.0024745150688564,0.104219367006848,0.17827598052763,0.136495388933984,-0.0956900997448695,0.0345802677700271,-0.064427491368295,0.206327436765066,-0.100510966193299,0.0996277941055774,0.0701860614110592,0.0450120434024629,-0.0064017977975307,0.0767622419059484
CAPN3,-0.219098415664689,0.0457004693212989,-0.136156834339893,-0.0721374842176631,0.0913355925871053,-0.020563838790488,0.0730387556712876,-0.0850707115565412,0.0854484030390255,-0.0245963861962745,-0.0840563018238854,0.217251572882834,0.0530446547147005,0.0686462263817045,-0.0703117985590433,0.0586609774037075,-0.0692077802969047,0.0441393171263946,0.0081650177730253,0.158802532304983,-0.0100570230698652,0.126536422729585,0.129267265657861,-0.180250632267797,-0.0094980438145547,0.0518817012542305,-0.0263157989840197,0.0310751880319009,-0.0077919225782872,-0.0444967371647272,0.0305631708468536,0.0191904898011899
RB1,0.0307062864371387,0.0559024057272257,0.171746701972573,0.0797508063014628,0.228295527592853,0.046368933034771,0.104756200379345,0.0588004195299899,0.227206257244206,-0.0921998383212252,0.154992921954642,0.118457897595048,0.165970604414773,-0.112933732213775,0.0127219791777509,0.13897093959084,0.0174075924010333,0.175564566392196,0.102877295080327,0.0861816428038712,-0.0519767471163594,0.165685523584849,0.307479490031515,0.414918550567908,0.0797300221967022,0.068651558742562,0.217038561479859,0.217512633435864,-0.0521702804766722,0.071557822902596,0.0544039685777224,-0.0490251464556238
CUX1,0.171524474821936,-0.149082983513464,0.178700546040763,0.105482504953957,-0.0598210052634308,-0.0347588443820125,0.131650708601097,0.0024788874477748,0.0609812105415922,0.0279988330625117,-0.175396610126255,0.0317097724104272,-0.0443069083616527,0.251064463658532,0.085957694133993,0.319022507701767,-0.0671931469861011,0.114463239305811,-0.0954685823014125,-0.237201325805716,0.110325354026957,0.18751230497956,0.135368192980023,0.147648821837575,0.114914046632719,0.139683757362683,0.166166480039208,-0.0102301106261924,-0.14248707585861,-0.180895768679061,0.004553183334803,0.0776118464442347
CDKN1A,0.644341556403865,0.221055732049253,0.299971799142258,0.671141973220522,0.546695699114819,0.0172475086363454,0.680386556439918,-0.0009265005649965,0.197230456957287,0.139322313540194,0.493959273450061,0.430729031129816,0.376788535015418,0.191868698695404,-0.222612850153747,0.298564772201276,0.297711862809538,0.514404259590714,0.106631670132861,0.537766088597772,0.401665026199521,0.0945913956607142,0.151127261399454,0.069598322582904,-0.0145883769346677,-0.0908074947487499,1.08212254185643,0.435661789104283,0.456277304981602,-0.0601674177738279,0.0804803507785719,0.0174473015709153
TSG101,-0.981268845649653,-1.18384220791818,-1.05608879564655,-1.11283374925354,-0.6821892948777,-0.619894217909814,-0.849268270907356,-0.848230617216422,-1.25098777287932,-1.42068542670086,-0.971352061611143,-1.11150459909357,-1.04476304532106,-0.810048151285953,-2.04759451439031,-1.65574136402252,-1.33128730835818,-1.43851193672763,-1.34087073134658,-0.939241237131094,-0.798363347688992,-1.26143300524414,-1.00587843837857,-1.37680625339096,-1.75262457181679,-0.937317235247882,-1.22235641790835,-0.994853903198154,-1.57045360949048,-1.46015780712625,-0.970628446023537,-1.01347929140781
MCM2,-1.38675170542468,-2.19346295488405,-1.34248309780028,-1.50624907263681,-1.74548224191573,-1.94145019394137,-2.01187937830683,-2.14887787296729,-2.13773598632352,-1.38884483502267,-1.63252809796528,-1.69139121588973,-1.71517763777005,-1.64433413341054,-1.92016665830832,-2.16759334089598,-1.93688460653301,-2.13125403417281,-1.89869456678801,-1.29820163927211,-1.7925535905901,-1.76253630145672,-2.00386768904712,-1.71031707540115,-2.16637316791405,-1.43199086425409,-1.75022170676847,-1.99847299565978,-1.77857435121982,-1.96747615907887,-1.7945355938314,-1.94160990153929
ORC1,-1.96898239062937,-1.35807749180607,-1.38829918854883,-1.34119948820584,-1.54348165711101,-1.13953858493687,-1.67101913149418,-1.25756777624858,-1.07013792906205,-1.83888200684545,-1.42770378588259,-1.57695379465331,-1.38574351179824,-1.57235850233197,-1.24942557631803,-1.28141243939989,-1.34108690081124,-1.36922684760883,-1.48601452873933,-1.17423725181657,-0.941459572017008,-1.37791645809322,-1.37471387724722,-1.14520791460078,-1.41974813958887,-1.35668792698226,-1.48767295921625,-1.0515008713192,-1.25516390691704,-1.38199976533701,-1.65268536150696,-1.59216416586689
MCM5,-0.94223542806138,-1.45289602301232,-0.980653472369312,-0.851169491411196,-1.54884053568894,-1.29771302137471,-1.2103531443479,-1.35048121661654,-1.72540815287828,-1.08605453125323,-1.55648663250957,-0.983511433896613,-1.14509085143136,-1.0745240652704,-0.940987177316752,-1.27602576726962,-1.47978781008005,-1.54162379018541,-1.55078358564346,-1.29550427857078,-1.0003110454365,-1.54714659067503,-1.34450535623339,-1.45154706992774,-1.72353763189605,-1.32921888901881,-1.05331741504891,-1.05503642524569,-1.83565139128875,-1.3265789027236,-1.55645134618805,-1.5697945966185
CDC7,-2.03078081629691,-1.88030237618571,-1.94601057728486,-1.99642707577119,-1.50292655814994,-1.37782952065975,-2.07076942792873,-1.73542101331936,-1.84744124317188,-2.92962641268833,-1.53960546832448,-2.15081486865894,-1.99739823396868,-2.11942959265601,-2.14647320931206,-2.17342605449801,-1.52145971254255,-1.5537816712403,-1.98835562660284,-1.55953312376575,-1.92619952271421,-1.80750325173322,-2.20791954732451,-1.64762651469637,-1.95950017244502,-1.98994732173045,-1.89880917053618,-1.64862699279976,-2.26454218020989,-1.97955000144091,-2.02824370859561,-2.04479502231518
RPA1,-1.62745594070329,-2.17256917658394,-2.32148667977908,-2.09020912555221,-2.24713405950822,-2.26687532879309,-1.47363598236039,-2.27646259304909,-2.19517334552523,-2.40078193887314,-2.49003514901996,-2.03572726426019,-2.36905933061273,-1.95271100483834,-2.26294129688279,-2.42061647217928,-2.12555440504446,-2.28690498268808,-1.92257101312103,-1.4485895676105,-2.52968214071004,-2.13929257721946,-2.48443724170259,-2.28940259843225,-2.25888174534105,-2.18158834465651,-2.22147841757337,-2.52018603771581,-1.86613468449687,-2.37483200657491,-2.09867750780106,-2.34121700630735
RPA3,-2.32109197118845,-2.0784680577583,-2.0798511302065,-1.53709422197539,-2.08186693053569,-2.08114313052939,-1.67403528695678,-2.14909335788617,-1.95211683458818,-1.41047668814543,-1.73645648643606,-1.60882931758605,-1.98994376705339,-1.36624823715086,-1.60408605785109,-1.97280053884584,-1.75095019271666,-1.8051825459086,-1.65866823652396,-1.50966506363513,-1.65281956610559,-1.51979137887395,-2.22568150984584,-2.01205165426664,-2.13127416868716,-1.73513978598777,-1.95286251788862,-1.99619555865526,-1.80834301409898,-1.54854061007591,-1.98934084485021,-1.83943975284542
MCM3,-1.78361474618295,-1.46049227865262,-1.27163661937163,-0.948697849991359,-1.65645507069655,-1.41961939583253,-1.22522338925058,-1.17390142171315,-1.46539602828365,-1.85858520185763,-1.0241754654533,-1.81034009478213,-1.32733639711599,-1.64346660472257,-0.762382250543646,-1.04705146691386,-1.34427080386216,-1.01435196319615,-1.5506979740036,-2.06918795659786,-1.14583875592432,-1.38556610633545,-0.811631845481488,-1.56371009799677,-1.63836527683295,-1.2458751248859,-1.11838854906464,-1.42264644570579,-1.66384377252374,-0.989448536577711,-1.39148923050365,-1.34332485526501
CDC42,-0.834576845299272,-1.23314231640883,-1.0609504904202,-1.34762634397147,-1.23401483742251,-1.37706636238779,-1.33667867555107,-1.44081910435742,-1.75775965033082,-1.49260105642413,-1.59975789072071,-1.29347173775211,-1.36328398099238,-1.53059010481618,-1.72070145751591,-1.35115219963636,-1.22910046998846,-1.01841850324023,-1.32486290651134,-1.36171221035561,-1.78434328239175,-1.42217414638543,-1.66416273001149,-1.22694072047033,-1.40534608589226,-1.35034522941321,-1.37234364370739,-1.17934372067346,-1.21185680103705,-1.79573045642202,-1.09255997881593,-1.01924420148494
DOCK8,-0.0365349193317734,0.0450380956848155,-0.0094021487108173,-0.0817778795860968,0.144901304693921,0.0594803883580611,9.24529930940547e-05,-0.0839621398705342,0.0906949596239962,0.0792642004166336,0.125202350054992,0.0353174924044137,-0.0307708014688816,0.0684333909493141,-0.020061299509456,0.0905607322295353,0.0941613095080005,0.128158887259236,0.0242609205292812,0.0287525036239512,-0.0872590392220205,-0.542139486337415,0.100713395394496,0.13229432482911,0.0037271362052866,-0.0118836555725952,0.056567733814786,0.133509125322123,0.071087158182703,0.0210799820219747,0.0126815125329403,0.0163740545434366
HAND2,-0.457677348778216,0.0639073766121799,0.23840976147036,0.059946826143328,-0.091537830923394,0.0094577157819083,0.159427508534548,0.0414333918212063,0.0131991332547907,0.0947329506199581,0.187627971415651,-0.149673270185556,0.0579280403782496,0.287677445031566,0.0515518634107415,0.0285237831625227,0.0181327454748602,0.0740447418362763,-0.0578512872112797,0.150828161601062,0.204916586637993,0.0738447568510027,0.013413779747079,0.0770336390019389,0.0530247339109613,0.0698686260812439,-0.0604550484832724,-0.0163679347618161,0.054016799465039,0.0552694349743617,-0.0070301991657606,0.004541364472975
