name,NetMF_1,NetMF_2,NetMF_3,NetMF_4,NetMF_5,NetMF_6,NetMF_7,NetMF_8,NetMF_9,NetMF_10,NetMF_11,NetMF_12,NetMF_13,NetMF_14,NetMF_15,NetMF_16,NetMF_17,NetMF_18,NetMF_19,NetMF_20,NetMF_21,NetMF_22,NetMF_23,NetMF_24,NetMF_25,NetMF_26,NetMF_27,NetMF_28,NetMF_29,NetMF_30,NetMF_31,NetMF_32
ENSG00000097021,386.4561,-45.62062,9.337142,-88.63204,-23.769003,24.787523,-18.648153,9.642173,-31.575676,35.55684,13.623732,27.723072,-20.749401,58.81703,-9.601831,-62.860863,38.20475,-29.090868,-23.925869,-40.772903,97.53572,13.114883,-8.998421,43.78314,22.074223,-34.44072,13.407058,19.000591,-6.265875,-29.054504,-29.85919,-24.826809
ENSG00000113396,0.0,7.798939e-12,1.3917483e-07,1.1313113e-07,2.7847514e-07,-3.236117e-07,3.029781e-08,-1.789835e-07,1.2547314e-08,-9.9528854e-08,-9.153172e-08,-6.805497e-11,-2.1380141e-07,-7.220233e-08,1.8438332e-07,-6.088835e-08,1.7819515e-08,1.39919365e-08,1.3702384e-08,-1.0594999e-07,2.027516e-08,-1.4954638e-08,3.2684713e-07,-5.862366e-08,-4.815258e-09,4.8124406e-08,-8.8690335e-09,-3.9525265e-08,-7.837983e-08,1.1759148e-08,-6.515437e-08,4.8709982e-08
ENSG00000068366,549.6385,180.63028,-40.744244,5.2292223,98.57412,78.65779,-15.867429,-37.579723,-41.015984,43.655872,24.406673,-29.236536,-41.322258,-1.4020934,4.043359,30.923775,7.335326,12.111846,26.793955,9.954184,-23.841385,11.321332,-21.602715,-18.001108,-0.56308174,19.258955,3.165052,23.67516,-0.19938406,5.687025,11.712163,-4.8265176
ENSG00000107798,143.3952,-15.463877,-18.432083,-15.094888,216.09756,-23.071978,-8.915713,-3.3183331,-63.25853,6.535236,-5.147594,-0.6995195,8.042673,-0.78460544,0.5056487,8.451811,-9.867772,5.4216266,-6.0527816,7.713785,-1.8715752,1.2868416,5.666297,11.993959,3.369965,2.301386,2.1921358,-3.7755685,-0.95912355,-3.710563,0.8329942,1.3569281
ENSG00000165029,418.59464,-41.98641,99.42018,-16.208033,-3.429359,20.856646,13.713725,-15.927883,-2.7008436,-30.417416,-7.5084023,15.867212,-22.98746,-12.94004,-31.426245,16.21452,3.4700491,21.530033,22.471613,-6.1853385,1.7463145,7.616716,7.312774,21.337393,-4.1086354,19.178104,-6.805995,0.19414099,-8.247878,-6.343412,-24.439854,-5.450126
ENSG00000099194,588.03326,184.2684,-88.40373,-14.44266,80.761856,36.931896,78.89615,119.445114,-53.734024,3.1967866,-12.1649885,-22.431456,-16.423363,-20.339653,35.724194,48.31628,-46.510056,0.7065895,-5.00338,-13.50984,9.147583,-15.363551,-24.111282,-23.560297,-23.9352,-32.237957,-0.3724043,-5.7730923,-8.2498,-19.038616,-23.802261,-25.757416
ENSG00000110090,538.66724,-81.575584,-46.121357,-14.368329,-5.182297,102.59048,88.1693,96.70914,55.704132,9.608059,60.59789,38.130074,20.311857,4.579165,-31.600653,27.419983,-30.08088,1.9245262,21.503023,33.874874,12.363233,32.70621,13.860083,10.132738,-6.808937,6.397734,22.688416,38.04824,10.614126,-5.038017,3.6762743,-21.61454
ENSG00000095321,213.42705,-32.95573,7.9268246,-85.66493,-38.592506,25.139225,-16.546373,9.170878,-43.724808,50.751793,-27.07211,36.325226,35.74193,16.308945,6.0473886,-14.216464,-15.341631,-19.091536,-10.397364,8.309964,17.019884,-5.3593187,-11.889018,55.509266,-37.801632,3.4700572,-19.85365,-16.77252,-13.214991,8.442499,7.9777555,-35.63374
ENSG00000099797,524.8813,-78.38619,-24.051113,-15.871366,-26.160269,92.807495,-33.880413,13.020916,2.7108116,-25.827593,-22.524597,21.553196,-39.402718,-27.90846,13.617266,45.60541,6.077182,27.187967,-15.692708,-20.08665,17.778997,-24.379295,11.442431,-11.432167,-22.035648,-25.42737,-35.53193,8.041455,-13.348286,-19.58547,-29.934877,-25.00008
ENSG00000084754,717.6854,-89.68783,-25.21036,109.39957,-54.028667,30.037363,-7.969537,56.19234,-45.563377,34.538216,-15.1036215,-10.006794,9.991191,-38.74288,22.871717,16.785925,-5.4660716,-14.491932,22.422762,12.975334,14.757488,-26.64658,44.122063,26.905785,-7.624667,26.972263,-15.044938,8.19474,47.515465,-25.351826,7.6534123,3.557658
ENSG00000060971,465.8692,-72.313446,-61.197376,-58.383274,-40.791542,99.72585,-81.55072,-23.379684,-39.890854,87.22483,50.309654,-49.854282,-68.629776,-17.103083,-24.273949,5.750976,-12.4767885,39.007164,18.54626,-12.57895,30.629803,24.935917,1.536772,-0.39917567,-29.26888,-1.0286441,8.537091,11.7428255,-22.498875,-37.60717,56.943146,30.994268
ENSG00000197375,273.5606,-37.49583,-19.918604,-53.620617,156.25542,-10.304443,-17.100317,-4.4450603,-28.816221,8.236775,-2.6414576,1.5586015,-26.629267,-16.361267,-10.093432,48.130634,0.11467035,49.68851,9.573732,0.78629476,53.663067,-7.392702,0.6790651,28.31989,-19.938112,-2.7913845,4.837225,-65.38763,-45.611755,-22.5303,46.693943,39.559605
ENSG00000149742,142.14708,-13.577637,33.706688,-23.150543,3.438538,65.905045,-28.657564,36.42129,-5.832672,-12.641686,-6.400243,45.83166,-38.14188,12.378265,29.253946,21.062002,0.51129425,1.2768507,-19.745638,-4.2965207,-31.182266,-6.444458,10.015666,17.416344,-3.3029513,2.57584,13.110144,16.257164,-25.319818,12.741589,27.316393,23.328009
ENSG00000087008,131.97124,-29.30926,-24.404047,-49.036648,-12.126668,28.446926,-16.471903,17.434557,-12.147504,9.746066,-1.8042227,25.269659,-24.165386,9.532056,-10.781935,-14.907159,-5.5540547,6.4098883,-3.091798,-2.122237,-14.829221,2.408091,-20.414532,35.37708,-13.984808,10.947487,-4.151267,21.018812,5.0351343,-7.5196514,19.635847,1.7755024
ENSG00000067829,432.47186,-60.691826,-39.525208,-58.47186,-37.164467,65.98009,-22.456009,-25.83926,-25.046743,14.482994,-2.6852434,7.9798245,-50.199257,-22.34675,-20.931656,21.437414,-62.878693,16.793444,-59.34868,30.839226,-3.461152,17.287447,-2.0622668,-20.207897,39.91408,34.876194,62.367226,-26.08875,-9.674472,1.975713,-49.593987,-9.732582
ENSG00000101986,267.05383,-40.499523,-18.247282,-11.11091,142.53708,77.89143,-8.359479,22.014738,35.101524,0.48642966,-34.85513,37.38496,-38.64404,16.267645,-7.1445274,6.8201604,-23.613235,9.288168,26.815748,19.06305,-5.266421,21.547998,1.4696558,4.076253,-16.831102,1.2740963,11.391875,13.869628,9.540792,-2.442509,0.46015716,3.385603
ENSG00000073756,0.0,-3.260418e-14,-7.84887e-14,-5.7784384e-14,-4.8113833e-14,2.7763133e-14,3.7585614e-13,8.205738e-13,2.1449077e-11,9.356581e-11,-3.5165912e-10,-3.4750075e-10,8.696149e-10,-4.4352366e-09,-1.63998e-08,4.4945494e-08,-1.3443795e-07,1.8441543e-07,5.7602563e-08,6.0985127e-07,-5.0411546e-07,7.504619e-08,-4.6840892e-08,2.158763e-07,-1.12167484e-07,2.9897907e-07,1.3249141e-07,2.0707823e-07,6.997005e-09,-1.8742769e-07,-1.11650884e-07,9.7683234e-08
ENSG00000012779,513.1752,172.99098,69.719925,-1.3339422,-24.881092,38.71546,-15.257137,-40.14022,-27.8468,47.552998,19.077456,-38.44139,5.439342,18.060814,-2.3425934,-20.09144,-17.93457,-43.698254,2.9310904,-29.74846,26.817966,-7.8942904,-34.592785,-29.142128,-34.066444,18.89547,-23.025576,-16.997816,0.79224384,23.052488,49.59958,-22.444248
ENSG00000021461,0.0,-2.4333017e-14,-4.9945762e-14,2.042221e-14,3.48022e-14,1.705344e-14,2.2816972e-13,1.0740242e-13,-5.231178e-12,3.6665918e-12,-3.1197055e-11,-1.1777002e-10,-3.0488695e-11,-6.469832e-11,-1.9386144e-09,-9.318084e-09,4.144669e-09,-8.86511e-09,5.7754526e-08,5.6953194e-08,9.003654e-08,1.7301637e-07,-4.0154e-07,-1.0812048e-07,-9.311022e-09,2.730781e-07,-1.523557e-07,-2.4821816e-07,2.6864987e-07,-1.6959527e-07,-4.198229e-07,-1.5998313e-07
ENSG00000019186,158.46605,-22.965689,13.209371,-48.613636,-13.291088,-48.52216,-1.4637954,-2.434112,5.0885515,24.992682,4.985001,18.52607,-34.928017,29.295656,-2.1581392,2.6557035,-17.629772,5.8321,7.2070556,-12.340542,-2.5201683,-0.5684624,1.664907,17.315722,-10.456533,6.030999,7.289006,10.349716,9.2194805,1.3049662,7.316226,-14.35061
ENSG00000242110,0.0,-5.6799034e-14,-8.691436e-14,1.0251169e-13,4.2940808e-13,2.994757e-14,4.9573095e-13,4.4087582e-13,-1.0114764e-11,-7.692257e-12,-1.3386775e-11,-4.2265516e-10,-2.8726568e-10,9.886525e-10,6.383373e-09,-3.272008e-08,2.6915004e-08,-2.867575e-08,1.5997341e-07,8.3281186e-08,1.667504e-07,1.3396867e-07,-1.4469944e-06,8.395404e-08,-2.5490746e-07,-4.905503e-07,-6.104363e-07,-6.1816075e-07,1.8486546e-07,-7.4122374e-07,-7.3500466e-08,2.7470057e-07
ENSG00000169710,655.2616,-83.73386,-39.12415,87.04148,-51.331524,11.7953415,-46.240032,-10.034219,-26.034353,38.016663,-30.079407,-3.9557986,23.25354,-30.176222,34.276978,21.190563,11.286473,-15.391534,10.999865,-8.852742,42.92124,-28.370697,39.306217,19.59761,8.125561,-4.9036665,-32.42796,15.638182,33.261517,-15.096361,-20.492252,20.208683
ENSG00000117054,580.98926,-93.276955,-80.84641,-21.13275,-46.878098,99.35117,-27.638174,-6.971237,-24.007364,-4.1326284,-6.91526,67.50291,-76.603226,-24.460941,-49.772358,-8.131135,-10.769881,56.805832,10.506,33.490105,44.31095,-18.324923,20.147846,17.386808,-15.864118,-2.7086327,-10.746184,-3.7968144,22.24985,-8.693526,10.509066,-10.744835
