gene,CS Group,label,prediction
FNTA,CS0,0,0
NARS1,CS0,0,0
BCL3,CS6,1,1
CUX1,CS7,1,1
CDKN1A,CS6,1,0
MCM2,CS0,0,0
ORC1,CS0,0,0
MCM5,CS0,0,0
DOCK8,CS6,1,1
GADD45A,CS7,1,1
TOP2B,CS6,1,0
LSM5,CS0,0,0
EEF1A1,CS0,0,0
EXOSC4,CS0,0,0
ECD,CS0,0,0
HNRNPM,CS0,0,0
MAPK8,CS6,1,1
KRT8,CS0,0,1
BCR,CS7,1,1
NFKB1,CS6,1,1
LEF1,CS6,1,1
ATRNL1,CS7,1,1
LSM7,CS0,0,0
OPRD1,CS7,1,1
TRPC1,CS6,1,1
KRIT1,CS6,1,1
RAP2B,CS6,1,1
TP53,CS7,1,0
WWOX,CS8,1,1
SHC2,CS6,1,1
HCFC1,CS0,0,1
BMX,CS7,1,1
WAS,CS6,1,1
LBR,CS7,1,0
KLC1,CS6,1,1
HNF4A,CS6,1,1
TCF4,CS6,1,1
ADAM17,CS7,1,1
MTOR,CS0,0,1
SF3B4,CS0,0,0
HECW1,CS6,1,1
MAD2L1,CS0,0,0
GRB10,CS7,1,0
PSMD4,CS0,0,0
CUL5,CS7,1,1
EXOSC6,CS0,0,1
SIAH1,CS6,1,1
COPS5,CS0,0,0
TOLLIP,CS7,1,0
CDC5L,CS0,0,0
LHX2,CS7,1,1
POLE2,CS0,0,0
UBE2L3,CS0,0,1
EIF3G,CS0,0,0
ANAPC5,CS0,0,0
NAGK,CS6,1,0
PACSIN2,CS6,1,1
IPO13,CS0,0,0
OSTM1,CS6,1,1
RGS17,CS6,1,1
ORC6,CS0,0,0
KCTD3,CS6,1,0
THUMPD3,CS6,1,0
UFD1,CS0,0,0
SYMPK,CS0,0,0
EXOSC7,CS0,0,0
CDK14,CS6,1,1
TMEM222,CS6,1,1
DNAJC1,CS6,1,1
ATP5MC3,CS6,1,0
BNIP3L,CS7,1,1
PRTFDC1,CS6,1,1
PDCD10,CS6,1,1
SAT1,CS7,1,0
RBM17,CS0,0,0
TIFA,CS6,1,1
PBX3,CS6,1,1
STX8,CS6,1,1
GPSM1,CS6,1,1
BAZ2B,CS6,1,1
PLOD3,CS6,1,1
FHIT,CS6,1,1
PDLIM7,CS6,1,0
POLL,CS6,1,0
VPS25,CS0,0,0
KRT20,CS6,1,1
C18orf25,CS6,1,0
LMO3,CS6,1,1
PSMA1,CS0,0,0
PACSIN1,CS6,1,1
RFX3,CS6,1,1
FAM50B,CS7,1,1
DYNC1I2,CS0,0,0
MAGEA4,CS6,1,1
SAE1,CS0,0,0
ACCS,CS6,1,1
SRSF1,CS0,0,0
KATNAL1,CS6,1,1
ABI2,CS6,1,1
SLC9A1,CS6,1,1
MED28,CS0,0,0
TFF1,CS6,1,1
TRIM27,CS6,1,1
HSPBP1,CS6,1,0
BANP,CS0,0,0
CCDC120,CS6,1,1
RMND5B,CS6,1,1
BEX2,CS6,1,1
KARS1,CS0,0,0
IRF3,CS6,1,1
CARD14,CS6,1,1
RBM41,CS6,1,1
ASB9,CS7,1,1
PLK4,CS0,0,0
GMDS,CS6,1,1
GNL3L,CS0,0,0
HOMER1,CS6,1,1
TSR2,CS0,0,1
CCER1,CS6,1,1
NOL4,CS6,1,1
MLF1,CS6,1,0
CDC42EP3,CS6,1,1
DYNC1I1,CS6,1,0
MEOX2,CS6,1,1
PCED1A,CS6,1,1
CBFA2T2,CS6,1,1
ZFAND6,CS6,1,1
SAMD3,CS6,1,1
EEF1G,CS0,0,0
SEC24D,CS6,1,0
PTS,CS7,1,1
DDAH2,CS6,1,1
CEACAM5,CS6,1,1
ILF2,CS0,0,0
SCGN,CS6,1,1
SF3A3,CS0,0,0
NAPA,CS0,0,0
MTUS2,CS7,1,1
RUVBL2,CS0,0,0
TSC22D3,CS6,1,1
EYA2,CS7,1,1
ASPA,CS6,1,1
SLU7,CS0,0,1
IPO11,CS0,0,0
HEY2,CS7,1,1
XAB2,CS0,0,0
KLRG1,CS7,1,1
GMPPA,CS6,1,1
SELENOI,CS6,1,1
FAM76B,CS6,1,1
ITPKB,CS6,1,1
ZNF473,CS6,1,1
NQO2,CS7,1,1
VIP,CS6,1,1
MYD88,CS6,1,1
PBK,CS6,1,1
MTHFS,CS6,1,1
