,transcript_count,gc_content,Gtex_lung,gene_disease_ass_count,oncodb_expression,HPA_lung_match_symbol,mf,bp,cc,biogrid,kegg,reactome,ucsc_tfbs,up_tissue,orth_count,gene_length
MAP2K4,0.6621499097792184,-1.236259629688889,-0.06341394623955508,0.27517873694876566,-9.107652922808393e-16,-0.07375458480126183,1.8560248204301433,1.0094818237489147,-0.023906630131045624,-0.18047940824492265,3.163708589235384,1.7661144962523918,0.1560863185183099,0.4317300404543491,0.662302157901328,0.4033156408623595
FNTA,0.5542630622422482,-0.527323066988949,-0.04579465900137552,-1.5743802941206694e-13,0.49917255713422687,0.02300034670192394,2.1438809882854426,-0.0852627923379728,0.23331045624869204,-0.03991058192163501,-0.688489133089405,0.46305620719686535,-1.2792689407301754,0.6895842162995705,0.790024973539312,-0.14098776743388255
ACVR1,1.8489052326858915,-0.8062489277233514,-0.05904478456635313,1.7018142512226688,0.3553494635993789,-0.04914880480691718,3.5831618275619395,3.7463433639661337,0.7477446290081673,0.2930155856861515,-0.11065947474068663,-3.0271086501016057e-13,2.12618177238878,-0.5996866629265362,0.07690591956056736,0.5334935450858
PML,1.4173578425380102,0.14803908654851766,0.004524746128649501,1.0776612137278363,0.12188911992887413,-0.028296448879506456,2.431737156140742,5.753375160125428,2.2910471472865934,1.9946382201259492,0.46717018360803175,1.2593696060641315,0.3530958639053569,0.4317300404543491,-0.44462891096120116,-0.12909658986106562
RPA2,-0.41671856559048415,-0.32458528858477653,-0.014525489255775249,-1.5743802941206694e-13,0.34350070831979057,-0.0024395275295171557,0.9924563168642452,0.09719464367650846,1.004961715387905,3.9773985072123224,0.08195041137555283,4.66179958304245,-0.7445287461081906,0.17387586460912777,0.9922527649661202,-0.35725474826462716
ARFIP2,0.12271567209436712,0.7924094777821606,-0.03125213741224948,-1.5743802941206694e-13,0.3763681117027917,-0.029130543116602882,1.2803124847195446,0.005965925669267827,0.23331045624869204,0.16724347792320993,-9.597136073510122e-14,-0.5504335731796552,0.32495164313577873,0.6895842162995705,-0.07210403201708078,-0.4824627500666083
APP,0.8779236048531589,-0.8953502443468419,0.6309011736272239,5.981720794044379,-0.016254704529250957,1.0522726352789176,8.188860513246729,13.3253587547264,12.322513516096363,17.47940419352811,-0.3032693608569261,3.9378783113449356,1.732162681614686,3.2681259747517832,0.800668541509144,1.6806796563238597
TFAP2A,1.0936972999270995,0.11704732424469487,-0.10655667851883016,0.8101670548014793,3.8093427518783662,-0.12088090919721009,3.5831618275619395,2.104226439835802,-0.5383408028905209,0.10805660368182567,-9.597136073510122e-14,0.24587982568761094,2.0417491100800453,-0.34183248708131486,0.704876429780656,-0.3324738391048657
ARRB2,1.2015841474640696,1.2805297340673658,0.20918258415865765,-0.08148014161971016,-1.134581618508473,0.14561219955509905,4.446730331127838,3.19897105592269,2.0338300609068556,2.6604905553415223,1.430219614189229,2.0556830049313977,0.6345380716011383,0.9474383921447918,-0.8384409258449855,-0.45115693834125
NARS1,0.33848936716830763,-0.4976226281144519,7.536859706878401e-15,-1.5743802941206694e-13,-9.107652922808393e-16,0.09473245109221685,0.4167439811536466,-0.45017766436693535,-0.5383408028905209,0.25602378928528635,-0.688489133089405,-0.5504335731796552,-0.6038076422602999,0.4317300404543491,0.8538863813583041,-0.36994629355869135
BCL3,0.014828824557396869,1.5581642713724426,0.16535468665080524,-0.43813902018818596,-0.06808728778749874,-0.04789766345127254,0.4167439811536466,2.5603700298720056,1.5193958881473804,-0.22486956392596086,-0.49587924697316554,-3.0271086501016057e-13,0.2686632015966225,-0.08397831123609355,-0.8490844938148175,-0.4402109569344775
ADRB1,-0.8482659557383652,1.5633295650897472,-0.051936379298910394,1.61264953158055,-4.049491450058123,-0.10169674174399222,1.2803124847195446,0.5533382337127116,-0.2811237165107833,-0.5356006536932283,1.2376097280729896,-0.26086506450064934,0.2968074223662006,-0.8575408387717575,0.6410150219616639,-0.5111082919375353
PCBD1,-0.6324922606644247,0.5044443530424766,0.02362358832312131,-0.6164684594724239,0.4086749562215138,0.12058937244220615,0.12888781329834725,-0.17649151034521343,-0.5383408028905209,0.0710648072809605,-0.49587924697316554,-0.5504335731796552,-0.9696825122648158,-0.5996866629265362,0.9816091969962882,-0.4863578729766785
CACNA1C,2.604113165444683,0.05893776992502724,-0.09108582591280817,3.0392850458544536,-1.2933542641836067,-0.11754453224882437,1.2803124847195446,1.2831679777706366,2.0338300609068556,-0.3506416716889024,5.860246994862736,0.17348769851785947,2.548345083932452,0.9474383921447918,-7.562709903533011e-14,5.054100018035853
PSEN2,3.0356605555925644,0.19840070029222936,-0.06970852814064916,0.6318376155172415,-0.19637486780481392,-0.0783421031052922,0.12888781329834725,0.37088079769823035,6.406520529362395,-0.04730894120180804,-0.11065947474068663,1.4765459875733857,-0.6038076422602999,0.9474383921447918,0.05561878362090334,-0.09564884166265497
RB1,0.014828824557396869,-1.054183026153932,-0.053189935301946455,5.00090887798107,-0.28830633373072023,-0.047063569214176114,2.7195933239960413,5.023545416067503,1.2621788017676427,1.7504923638802392,3.934148133700342,2.7072121494591608,1.2537109285318575,1.205292567990013,0.9177477891772962,1.719661375623466
CUX1,1.5252446900749805,0.25134496089459246,-0.05833998582067078,0.45350817623300355,-0.29032746313640856,0.0163275928051525,0.9924563168642452,-0.17649151034521343,0.4905275426284297,0.4631778491301313,-9.597136073510122e-14,-0.11608081016114641,2.6609219670107644,2.236709271370898,0.013044511741575298,3.0334992915246644
CDKN1A,-0.09305802297957338,1.0003125499036367,0.35054890427636226,2.2368025690753828,-0.42008538169988935,0.12058937244220615,1.568168652574844,4.65863054403854,1.004961715387905,2.0834185314880256,7.208516197676413,3.64830980266593,-0.0409232268687371,-0.34183248708131486,0.7368071336901519,-0.45135512463413024
TSG101,0.33848936716830763,-0.9108461254987528,-0.012682064628009219,-1.5743802941206694e-13,0.08579947177302773,0.06136868160835969,1.568168652574844,2.104226439835802,2.548264233666331,1.3879727591517605,-0.49587924697316554,0.3906640800271139,-0.5475192007211437,-0.08397831123609355,0.8432428133884721,-0.08746984580648026
