name,ACH-000159,ACH-000189,ACH-000234,ACH-000246,ACH-000250,ACH-000262,ACH-000272,ACH-000313,ACH-000317,ACH-000375,ACH-000385,ACH-000411,ACH-000433,ACH-000484,ACH-000495,ACH-000600,ACH-000649,ACH-000684,ACH-000709,ACH-000792,ACH-000907,ACH-001163,ACH-001194,ACH-001310,ACH-001398,ACH-001532,ACH-001687,ACH-001688,ACH-002150,ACH-002189,most_freq
A1BG,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE
A1CF,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,NE,aNE,aNE
A2M,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE
A2ML1,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE
A3GALT2,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE
A4GALT,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE
A4GNT,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
AAAS,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE
AACS,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
AADAC,NE,NE,aNE,NE,NE,aNE,NE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE
AADACL2,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,aNE
AADACL3,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,NE,NE,aNE,NE
AADACL4,NE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE
AADAT,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
AAGAB,NE,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,aNE,NE,NE,NE,aNE,aNE,NE,NE,NE,NE
AAK1,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE
