"id","label","KBM7_CS_label","wang_consensus_o","wang_consensus_e","label_crispr_100","label_crispr_50","label_crispr_25","label_crispr_10","label_CS_ACH_most_freq","label_CS_ACH_CS0_100","fba_label","avana0","avana10","EPGAT_OGEE","avana_OGEE","sanger_OGEE","novartis_OGEE"
"ENSG00000097021","n0","NE","CS4","NE","NE","NE","NE","NE","NE","CS7","CS7","false","NE","NE","NE","NE","NE",NA
"ENSG00000113396","n1","NE","CS6","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000068366","n2","NE","CS5","NE","NE",NA,NA,NA,NA,NA,NA,"false","NE","NE","E","NE","NE",NA
"ENSG00000107798","n3","NE","CS6","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE","NE",NA
"ENSG00000165029","n4","NE","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000099194","n5","NE","CS0","E","NE","NE","NE","E","E","CS1","CS1","false","E","E","E","E","E","NE"
"ENSG00000110090","n6","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000095321","n7","NE","CS3","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000099797","n8","E","CS2","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","E","NE","NE",NA
"ENSG00000084754","n9","NE","CS5","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","NE","NE","NE","NE"
"ENSG00000060971","n10","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","E","NE","NE",NA
"ENSG00000197375","n11","NE","CS4","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000149742","n12","NE","CS4","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE","NE",NA
"ENSG00000087008","n13","NE","CS5","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000067829","n14","NE","CS4","NE","NE",NA,NA,NA,NA,NA,NA,"false","NE","NE","NE","NE","NE","NE"
"ENSG00000101986","n15","NE","CS8","NE","NE",NA,NA,NA,NA,NA,NA,"true","NE","NE","NE","NE","NE","NE"
"ENSG00000073756","n16","NE","CS7","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000012779","n17","NE","CS5","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE","NE"
"ENSG00000021461","n18","NE","CS8","NE","NE","NE","NE","NE","NE","CS3","CS3","false","NE","NE","E","NE","NE","NE"
"ENSG00000019186","n19","NE","CS2","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE","NE"
"ENSG00000242110","n20","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE",NA
"ENSG00000169710","n21","NE","CS0","E","NE","NE","NE","NE","NE","CS4","CS4","true","E","NE","E","NE","NE","NE"
"ENSG00000117054","n22","NE","CS4","NE","NE","NE","NE","NE","NE","CS7","CS7","true","NE","NE","NE","NE","NE","NE"
"ENSG00000167969","n23","NE","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000074696","n24","NE",NA,NA,NA,"NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE",NA,NA
"ENSG00000072778","n25","NE","CS1","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000104823","n26","NE","CS5","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE","NE"
"ENSG00000196177","n27","NE","CS5","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE","NE"
"ENSG00000107537","n28","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","E","NE","NE","NE"
"ENSG00000149084","n29","NE","CS0","E","NE","NE","NE","NE","NE","CS1","CS1","true","E","E","E","NE","NE","NE"
