name,label
MAP2K4,CS6
FLNC,CS4
FNTA,CS0
ACVR1,CS6
GATA2,CS5
PML,CS6
RPA2,CS0
STAT3,CS5
ARF1,CS1
GGA3,CS4
ARFIP2,CS6
ARF3,CS3
ARFIP1,CS6
ALDOA,CS1
XRN1,CS1
APP,CS6
APPBP2,CS5
DAB1,CS4
APLP1,CS4
TFAP2A,CS7
CITED2,CS3
EP300,CS2
APOB,CS5
MTTP,CS5
ARRB2,CS5
RALGDS,CS5
CSF1R,CS5
GRB2,CS0
PRRC2A,CS1
LSM1,CS4
NARS1,CS0
SLC4A1,CS5
SLC4A1AP,CS4
BCL3,CS7
BARD1,CS1
GIPC1,CS4
ADRB1,CS6
ATF1,CS3
BRCA1,CS1
MSH2,CS3
MSH6,CS6
ARVCF,CS7
CDH15,CS4
PCBD1,CS4
CACNA1C,CS5
CAPN1,CS4
PSEN2,CS5
CAPN3,CS6
TTN,CS5
CA8,CS5
ITPR1,CS4
CTNNB1,CS3
MAGI1,CS5
RB1,CS6
CUX1,CS7
CDKN1A,CS9
TSG101,CS0
MCM2,CS0
ORC1,CS0
ORC4,CS1
MCM5,CS0
CDC7,CS0
ORC2,CS3
DBF4,CS1
AKAP8,CS5
RPA1,CS0
RPA3,CS0
ORC5,CS1
MCM3,CS0
CDC25A,CS2
YWHAZ,CS1
CDC42,CS0
DOCK8,CS6
TRIP10,CS4
CDK2,CS1
CDKN3,CS5
RBL1,CS3
RBBP8,CS1
CENPB,CS4
HAND2,CS6
HGS,CS1
CLTC,CS0
COL1A1,CS4
IGFBP3,CS4
TXN,CS1
ATF2,CS6
SMAD3,CS4
SMAD4,CS5
CCND3,CS3
EIF3K,CS4
CCNB1,CS1
RALBP1,CS3
PPIB,CS4
CAMLG,CS2
CSRP1,CS5
INSR,CS5
CSK,CS3
IGF1R,CS4
EGFR,CS3
DCN,CS6
ARNT,CS2
SIM2,CS5
SIM1,CS4
NPAS4,CS4
ZBTB16,CS6
HBEGF,CS5
PCNA,CS0
GADD45A,CS7
TOP2B,CS5
TOPBP1,CS0
FLNA,CS5
DRD3,CS4
SNRPE,
LSM3,CS0
LSM4,CS0
LSM5,CS0
EGR1,CS5
CREBBP,CS4
EPB41,CS5
NUMA1,CS1
EEF1A1,CS0
EXOSC4,CS0
PLCG1,CS5
EEF1D,CS3
KTN1,CS7
ANXA5,CS5
KDR,CS4
ESR1,CS5
PPARGC1B,CS1
SMARCA4,CS2
DDX54,CS0
DNTTIP2,CS1
FGFR1,CS4
FDPS,CS2
TGFB1,CS5
FAS,CS4
SUMO1,CS2
FTL,CS7
MPP6,
FGA,CS5
ITGB1,CS6
FRS3,CS4
GABARAP,CS3
GABRG2,CS6
NR3C1,CS5
SFN,CS4
TGFB1I1,CS6
ECD,CS0
PFKFB2,CS4
GCK,CS6
HSPA5,CS0
DPH1,CS2
SLC2A2,CS5
KPNA2,CS2
SLC2A4,CS5
DAXX,CS2
SDCBP,CS3
GRIK2,CS6
PICK1,CS4
GRIK1,CS6
CCNT1,CS3
GRN,CS4
GNAZ,CS8
RGS19,CS5
GNAO1,CS4
GNAI2,CS4
GNAI3,CS4
UBE2I,CS0
HSF2,CS4
LIMK1,CS5
NRG1,
FGF7,CS6
HSPG2,CS6
MAD2L2,CS1
P4HA2,CS4
CCR10,CS5
C1QBP,CS2
EIF3E,CS0
GANAB,CS4
HNRNPA1,CS2
PSMA3,CS0
HNRNPM,CS1
MAN2C1,CS5
SSR3,CS4
DDX20,CS0
UBAP2L,CS2
IMMT,CS3
CPSF1,CS0
PRMT2,CS5
QARS1,CS0
IFT88,CS5
BAG6,CS4
HTT,CS5
SETD2,CS2
HAP1,CS3
ZDHHC17,CS6
HYPK,CS1
YWHAQ,CS6
MEF2D,CS3
TCF3,CS5
ID3,CS4
IRS1,CS5
YWHAE,CS1
SOCS1,CS4
PTK2,CS1
MAPK8,CS6
IL1A,CS4
NDN,CS5
PRMT5,CS0
JAK2,CS4
KRT8,CS0
BYSL,CS0
KRT18,CS1
CBL,CS5
DNAJB6,CS2
LMNA,CS3
LMNB1,CS4
SREBF1,CS3
NARF,CS4
BCR,CS7
AFDN,CS3
BCL2,CS5
BNIPL,CS4
BNIP2,CS4
SMN1,
TP53BP2,CS2
RTN4,CS5
BECN1,CS3
LYL1,CS4
NFKB1,CS6
PTPRC,
SKAP1,CS3
ALOX5,CS4
COTL1,CS6
XRCC6,CS0
VAV1,CS6
NCF4,CS6
XRCC5,CS0
MRE11,CS2
CBX5,CS5
PIAS4,CS2
LEF1,CS6
MITF,CS4
LOX,CS6
DHDDS,CS0
YBX1,CS0
SRSF9,CS3
MC4R,CS6
ATRNL1,CS6
ATF7IP,CS5
MBD1,CS5
CHAF1A,CS0
PIAS3,CS4
PATZ1,CS5
ANP32A,CS6
MAP1B,CS6
MCM7,CS0
ORC3,CS2
FHL2,CS4
CCN3,CS6
POLR2L,CS0
KMT2A,CS3
PPIE,CS1
PPP1R15A,CS4
RAP1GAP,CS6
NECTIN1,CS6
PFN1,CS1
NGFR,CS4
PRKACB,CS4
NPY1R,CS4
LSM7,CS0
SNCA,CS7
SNCAIP,CS5
EPB41L1,CS6
MAP3K8,CS6
FOS,CS4
RELA,CS1
RNF25,CS3
PPP1R13L,CS4
FEN1,CS1
NOP2,CS0
MCRS1,CS1
ETS1,CS7
AKT1,CS5
PLXNA1,CS4
AKT2,CS5
APPL1,CS4
ETS2,CS7
CDK10,CS4
CTTN,CS4
SHANK2,
WIPF1,CS6
SKI,CS5
SNW1,CS0
NRAS,CS4
RAP1GDS1,CS5
MET,CS4
GLMN,CS2
FOXG1,CS5
KDM5B,CS3
PPP4C,CS1
REL,CS5
FLT1,CS6
SHC1,CS3
OPRD1,CS7
GPRASP1,CS6
MYO1C,CS4
PDE6D,CS4
RHOB,CS4
RHOA,CS2
PAX5,CS5
TLE4,CS6
PAX9,CS5
KALRN,CS4
PAM,CS5
PPARA,CS5
NRBF2,CS2
PIK3CA,CS3
PIK3R3,CS3
APOA1,CS6
PDE1A,CS6
LSM8,CS0
PGD,CS0
SELP,CS4
SNX17,CS4
PKD1,CS1
PKD2,CS6
TRPC1,CS5
KCNA4,CS5
DLG1,CS4
PFN2,CS4
FHOD1,CS5
HUS1,CS2
PTPRB,CS7
MAGI3,CS5
PRKAR1A,CS2
PRKAR1B,CS6
AKAP1,CS5
FER,CS6
TMF1,CS4
MAPK1,CS5
NEK2,CS4
RACK1,CS0
HABP4,CS4
NSMAF,CS5
AR,CS6
ITGB2,CS5
PDPK1,CS0
PRKCZ,CS3
WWC1,CS6
MAF,CS3
RHOG,CS4
ARHGDIG,CS4
RAB4A,CS5
CD2AP,CS6
RAB5A,CS4
RABEP1,CS5
RAB5B,CS6
RIN3,CS4
RAP1A,CS3
KRIT1,CS6
RGL2,CS6
RAP1B,CS1
RAP2B,CS6
RALA,CS4
EXOC8,CS1
HBP1,CS4
TRAP1,CS5
AATF,CS1
THOC1,CS0
RBL2,CS6
RXRA,CS5
